"Card","Card","Parallel","Parallel","","Type","Subtype","Rarity","Token","Cost","Health","Attack","Keywords","Function"
"Mechanize","Mechanize","augencore","augencore","","effect","","rare","false","5","0","0","Defender","Transform a friendly unit into an upgrade, then attach it to another friendly unit. The transformed unit’s attack, health, and abilities are given to the other friendly unit. The upgraded unit immediately attacks. The enemy may give any unit they control *Defender* for this attack."
"BionicTweaker","Bionic Tweaker","augencore","augencore","","unit","","common","false","3","4","2","Muster,Armed,Defender,Salvage","*Muster*: Target friendly upgraded unit gains one:

* *Armed*
* *Defender*
* *Salvage* 1"
"AuroraFungi","Aurora Fungi","earthen","earthen","","upgrade","","uncommon","false","2","0","0","","Upgraded unit has +2/+3."
"RevitalizingGrowth","Revitalizing Growth","earthen","earthen","","effect","","uncommon","false","1","0","0","","Heal any target for 5."
"ArtilleryVolley","Artillery Volley","marcolian","marcolian","","effect","","legendary","false","3","0","0","","Destroy target friendly unit. Deal damage equal to that unit’s attack to all enemy units."
"Hijack","Hijack","universal","universal","","effect","","legendary","false","3","0","0","","As an additional cost to play Hijack, waste a friendly banked card and discard a card from your hand.
Play a revealed enemy banked card for free."
"EarthbreakerCannon","Earthbreaker Cannon","marcolian","marcolian","","unit","vehicle","legendary","false","6","4","7","Assault,Shielded","*Assault*: Earthbreaker Cannon gains *Shielded*.
After another friendly Vehicle enters the field, Earthbreaker Cannon deals 5 damage to any target."
"GroveAltruist","Grove Altruist","earthen","earthen","","unit","","common","false","5","7","4","Aftermath","*Aftermath*: Heal friendly units equal to this unit’s max health, divided as you choose."
"StudentOfShoshanna","Student of Shoshanna","earthen","earthen","","unit","","common","false","2","2","2","","After you play a unit, this unit gains +1/+1 and heal yourself for 1."
"DataBreach","Data Breach","universal","universal","","effect","","legendary","false","3","0","0","","Reveal all bank cards."
"InfusedCore","Infused Core","universal","universal","","relic","","rare","false","3","0","0","","Put a banked card under this relic revealed. That card produces 2 energy each turn.
If this relic leaves the field, waste the card underneath.
If this relic is destroyed, take 4 damage."
"CapeOfCharMahal","Cape of Char Mahal","earthen","earthen","","upgrade","","common","false","3","0","0","","If upgraded unit would be destroyed, fully heal it and destroy this upgrade instead."
"EnhancedExoskeleton","Enhanced Exoskeleton","augencore","augencore","","upgrade","","uncommon","false","3","0","0","Shielded","Upgraded unit has +1/+1 for each upgrade not named Enhanced Exoskeleton attached to it and gains *Shielded*."
"UniversalSoldier","Universal Soldier","universal","universal","","unit","","uncommon","false","4","3","3","","This unit has +1/+1 for each revealed enemy bank card."
